K5	pass	登录页邮箱+Send code：关键控件整块在键盘顶边之上（k5-login-ime）
C1	pass	邮箱 → Send code 发出验证码，进入验证码页
K6	pass	验证码页 OTP（以 Verify 按钮位置为判据）：关键控件整块在键盘顶边之上（k6-verify-ime）
C2	pass	输入开发码 888888，满 6 位自动提交并通过（verify.tsx:97 onComplete=submit）
C3	pass	工作区选择页列出多个工作区（probe550 / probe542），选中 Probe 550 后进入收件箱
C4	pass	收件箱渲染出夹具条目（服务端按 issue 去重后 2 行：Mentioned + PRB-2 新评论），见 c4-01-inbox.png
C4c	pass	左滑未读条目露出 Archive 操作
C4d	pass	点 Archive 后条目从收件箱移除
C4b	pass	点开收件箱条目进入对应 issue 详情
C4e	pass	顶部 Inbox actions 面板打开并列出批量操作
C5	pass	深链打开 issue 详情（标题 + 时间线分节）
C5b	pass	属性 chip 渲染： In Progress High Android 回归项目 android 回归（未命中：）
C5c	blocked	原生 markdown 评论不进无障碍树（551 §9.1），以截图 c5-02-detail-bottom.png 人工复核
C5d	pass	⋯ 菜单（JS action sheet）打开并列出操作项
C5e	fail	长按后未出现动作面板（见 c5-04-comment-menu.png）
C5f	blocked	上一步失败
K2	pass	评论 composer：关键控件整块在键盘顶边之上（k2-comment-ime）
C6	pass	编辑 issue 页打开（Edit Issue：Title + Description 两个字段）
K4	pass	编辑 issue 标题：关键控件整块在键盘顶边之上（k4-editissue-ime）
C6b	fail	从详情点 chip 进选择器只成功 0 次
C6c	pass	issue 属性选择器抽样路由可打开（status/priority 2/2；其余 4 个路由见 551 结论）
C7	pass	新建 issue 页打开
K3	pass	新建 issue 标题：关键控件整块在键盘顶边之上（k3-newissue-ime）
C7b	fail	新建 issue 属性 chip 只打开 2/5 个（见 c7-picker-chip-*.png）
C7c	pass	new-issue-picker 抽样路由可打开（status/priority 2/2；其余 3 个路由见 551 结论）
C7d	fail	提交后未看到新 issue 详情（见 c7-03-after-create.png）
C8	pass	聊天页渲染出夹具会话的历史气泡（user + assistant 各一条）
K1	pass	聊天 composer：关键控件整块在键盘顶边之上（k1-chat-ime）
C8b	pass	聊天发送已执行：乐观气泡=1；发送中标记 Stop agent=0；待发/排队 pill 文案（未捕获到，见 c8-04-chat-pending.png）
